#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
269,"Variations on a Cloud","Miracle Musical",53,144,"","Variations on a Cloud",2012-09-11,03:10,76,71,51,0,93,0,10,-7,C Major,4,2025-07-24,5ELOH7ea3ZkSeWTMIpWGDv,8B,TCACG1594336
270,"What’s Going On?!","Madilyn Mei",61,120,"","What’s Going On?!",2025-05-16,04:03,54,70,75,0,42,0,30,-6,C♯/D♭ Major,4,2025-07-24,5s7nzC5NOwTo61L1NBGH26,3B,USUG12503633
271,"Affection Addiction","VocaloKAT,Aku P",63,160,"vocaloid","Affection Addiction",2025-04-05,03:39,59,93,1,31,82,0,20,-5,C Minor,4,2025-07-24,68RUQHVnQZa8dvw1K8Cxk3,5A,QZK6G2570991
272,"Hi Ren","Ren",71,103,"","Hi Ren",2022-12-15,08:35,65,66,72,0,48,40,10,-7,G Minor,4,2025-07-24,0FLwYQoXvX8q5iRZnFX59u,6A,UKLQ62200014
273,"Jenny's Tale","Ren",58,89,"","The Tale of Jenny & Screech",2019-09-18,03:08,65,39,84,0,59,80,10,-10,A Minor,4,2025-07-24,1Q6CIQGgDXc2eUkBaONu8S,8A,NL4NL2220508
274,"Screech's Tale","Ren",56,124,"","The Tale of Jenny & Screech",2019-09-18,03:27,72,34,77,0,25,40,10,-9,E Minor,3,2025-07-24,5mCaDS3P8CAZagwAGiBImT,9A,NL4NL2220510
275,"Violet's Tale","Ren",65,103,"","Violet's Tale",2022-07-29,05:44,69,42,79,0,64,30,30,-10,D Minor,4,2025-07-24,5KyuddPRTSgiwk7zGO1hvE,7A,TCAGI2226456
276,"Body","Mother Mother",0,148,"","O My Heart",2008-09-23,03:33,60,63,13,0,47,0,30,-4,A#/B♭ Minor,4,2025-07-24,0VmREvheUiN0xgM5fJYQqp,3A,CAL450882106
277,"Verbatim","Mother Mother",75,78,"","Touch Up",2007-05-08,02:48,83,58,31,0,49,30,10,-7,G Major,4,2025-07-24,4IA6pgGRmqfxWGAfyZ8cgR,9B,CAL450793908
278,"Tic Toc","Mother Mother",45,150,"","Touch Up",2007-05-08,01:31,54,50,54,0,92,10,10,-7,F#/G♭ Major,3,2025-07-24,4iK54JG7de4U7TmyjIJn7w,2B,CAL450793911
279,"Diggin' Up Hatchets","Shayfer James",41,119,"","Counterfeit Arcade",2011-11-29,03:58,48,78,3,0,42,0,10,-6,A Major,4,2025-07-24,22Qce4LVRx6PqsVhOXuaWs,11B,USRF71100008
280,"Train Of Thought","Mother Mother",38,133,"","Touch Up",2007-05-08,02:41,50,43,31,0,48,0,0,-6,D Major,4,2025-07-24,1azVMt3NKjpv1E9gk9kpDa,10B,CAL450793907
